Feature,Coefficient,Absolute_Coefficient
city_city_126,0.03284641541573842,0.03284641541573842
company_type_Pvt Ltd,-0.032158816894314636,0.032158816894314636
city_city_157,-0.03204724024344538,0.03204724024344538
city_city_72,-0.031668346552249864,0.031668346552249864
company_type_Other,0.031463914870387855,0.031463914870387855
city_city_179,0.031189018224123306,0.031189018224123306
city_city_117,-0.029980060962409735,0.029980060962409735
gender_Male,-0.029726071473585407,0.029726071473585407
city_city_100,0.029459966815310015,0.029459966815310015
city_city_101,0.02885344816940262,0.02885344816940262
city_city_40,-0.028807120931762145,0.028807120931762145
city_city_165,0.028283137126366792,0.028283137126366792
city_city_150,-0.028124969639723735,0.028124969639723735
city_city_13,-0.026084035431834397,0.026084035431834397
city_city_9,0.025808955258486244,0.025808955258486244
major_discipline_Business Degree,0.025125844353794093,0.025125844353794093
city_city_115,0.02507066733875134,0.02507066733875134
city_city_144,0.025005524911398878,0.025005524911398878
city_city_152,-0.024956804245794183,0.024956804245794183
city_city_78,0.023402704020745197,0.023402704020745197
city_city_127,-0.023184258122494892,0.023184258122494892
city_city_70,0.02236965777977847,0.02236965777977847
city_city_30,-0.021997941237975018,0.021997941237975018
gender_Other,0.021522390410793256,0.021522390410793256
city_city_93,0.020549036160892285,0.020549036160892285
city_city_45,-0.019429658970312173,0.019429658970312173
city_city_55,-0.01924196303206553,0.01924196303206553
city_city_24,-0.01903749882698184,0.01903749882698184
city_city_143,0.019001202791120945,0.019001202791120945
city_city_14,-0.018980137505037072,0.018980137505037072
city_city_10,-0.018366203611673085,0.018366203611673085
gender_nan,-0.01812966201762983,0.01812966201762983
education_level_Phd,-0.01787373453105374,0.01787373453105374
city_city_89,0.01764026754001969,0.01764026754001969
city_city_139,0.017347687140394013,0.017347687140394013
city_city_53,0.016722485108968854,0.016722485108968854
city_city_71,-0.01666877927459148,0.01666877927459148
major_discipline_Other,-0.0160252871555742,0.0160252871555742
city_city_175,-0.014728594099186025,0.014728594099186025
enrolled_university_Part time course,-0.014617684464002929,0.014617684464002929
city_city_18,0.01434608031039445,0.01434608031039445
city_city_162,0.014240169744479168,0.014240169744479168
city_city_167,0.013932009789182435,0.013932009789182435
city_city_158,0.012813920449012157,0.012813920449012157
company_type_NGO,0.012536253085492615,0.012536253085492615
city_city_180,-0.012467197993634238,0.012467197993634238
city_city_33,0.012330129340876461,0.012330129340876461
city_city_76,0.01152860015036292,0.01152860015036292
city_city_90,-0.011522681506419639,0.011522681506419639
city_city_142,-0.011392182780803445,0.011392182780803445
city_city_109,-0.010738031427934638,0.010738031427934638
city_city_59,0.010474688979773604,0.010474688979773604
city_city_12,-0.010186633999354515,0.010186633999354515
city_city_118,0.010051305726390129,0.010051305726390129
city_city_25,0.00975757263374887,0.00975757263374887
city_city_176,-0.009740196476312833,0.009740196476312833
city_city_141,-0.009544501696960245,0.009544501696960245
city_city_73,-0.009500565477193523,0.009500565477193523
city_city_27,-0.009332896280256577,0.009332896280256577
city_city_146,0.008788318514208197,0.008788318514208197
city_city_94,0.008177431795621835,0.008177431795621835
city_city_54,0.007134941847912554,0.007134941847912554
city_city_133,-0.006263700733719812,0.006263700733719812
city_city_48,0.005450892913563011,0.005450892913563011
city_city_19,-0.005425367850782829,0.005425367850782829
city_city_166,0.0054142022834137975,0.0054142022834137975
city_city_120,0.005383864312110539,0.005383864312110539
major_discipline_Humanities,-0.005210577480455974,0.005210577480455974
city_city_31,-0.005015434682964056,0.005015434682964056
city_city_84,0.004942960028646987,0.004942960028646987
city_city_99,-0.004806729523484996,0.004806729523484996
city_city_123,-0.004675783981307766,0.004675783981307766
city_city_41,0.00417871408471226,0.00417871408471226
city_city_80,-0.004002675603077868,0.004002675603077868
major_discipline_No Major,-0.002896439210885758,0.002896439210885758
city_city_69,0.0027344388801919493,0.0027344388801919493
city_city_134,-0.002556604052382349,0.002556604052382349
city_city_43,0.0025237508075688967,0.0025237508075688967
city_city_26,-0.00248721011376854,0.00248721011376854
city_city_44,-0.0022063754272027636,0.0022063754272027636
city_city_81,-0.0022032644922291146,0.0022032644922291146
city_city_107,0.0019379956374928843,0.0019379956374928843
city_city_91,0.0013405112220755606,0.0013405112220755606
city_city_106,0.0011091654325143861,0.0011091654325143861
city_city_79,0.0008799968969184527,0.0008799968969184527
city_city_46,0.000599451072331302,0.000599451072331302
city_city_83,-0.0004967302496343564,0.0004967302496343564
city_city_131,0.0004384404756938858,0.0004384404756938858
city_city_140,0.0,0.0
